asset_id,device_id,asset_type,drive_id,plant_id,poles,rated_kw,rated_current_a,iso_group,foundation,nominal_output_hz,bearing_de,bearing_nde,relube_interval_h,installed_at
CNV-001,VS-01001,CONVEYOR_MOTOR,VFD-1-1-1,PLANT-A,4,5.5,15,2,RIGID,60,6209,6209,2000,2026-01-01
CNV-002,VS-01002,CONVEYOR_MOTOR,VFD-1-1-2,PLANT-A,4,5.5,15,2,RIGID,60,6209,6209,2000,2026-01-01
CNV-003,VS-01003,CONVEYOR_MOTOR,VFD-1-2-1,PLANT-A,4,5.5,15,2,RIGID,60,6209,6209,2000,2026-01-01
CNV-004,VS-01004,CONVEYOR_MOTOR,VFD-1-2-2,PLANT-A,4,5.5,15,2,RIGID,60,6209,6209,2000,2026-01-01
CNV-005,VS-01005,CONVEYOR_MOTOR,VFD-1-3-1,PLANT-A,4,5.5,15,2,RIGID,60,6209,6209,2000,2026-01-01
CNV-006,VS-01006,CONVEYOR_MOTOR,VFD-1-3-2,PLANT-A,4,5.5,15,2,RIGID,60,6209,6209,2000,2026-01-01
CNV-007,VS-01007,CONVEYOR_MOTOR,VFD-2-1-1,PLANT-A,4,5.5,15,2,RIGID,60,6209,6209,2000,2026-01-01
CNV-008,VS-01008,CONVEYOR_MOTOR,VFD-2-1-2,PLANT-A,4,5.5,15,2,RIGID,60,6209,6209,2000,2026-01-01
CNV-009,VS-01009,CONVEYOR_MOTOR,VFD-2-2-1,PLANT-A,4,5.5,15,2,RIGID,60,6209,6209,2000,2026-01-01
CNV-010,VS-01010,CONVEYOR_MOTOR,VFD-2-2-2,PLANT-A,4,5.5,15,2,RIGID,60,6209,6209,2000,2026-01-01
MILL-001,VS-02001,MILL_DRIVE,VFD-1-1-MILL,PLANT-A,6,22,50,1,RIGID,50,6309,6309,3000,2026-01-01
MILL-002,VS-02002,MILL_DRIVE,VFD-2-1-MILL,PLANT-A,6,22,50,1,RIGID,50,6309,6309,3000,2026-01-01
